id,tcg_id
842579,ecard2-52
887930,ecard2-91
2293943,ecard2-52
2293982,ecard2-91
842549,ecard2-22
887944,ecard2-H16
2293913,ecard2-22
842612,ecard2-92
2293983,ecard2-92
842613,ecard2-93
2293984,ecard2-93
842580,ecard2-53
2293944,ecard2-53
842581,ecard2-54
2293945,ecard2-54
842644,ecard2-128
2294019,ecard2-128
842645,ecard2-129
2294020,ecard2-129
842659,ecard2-143
2294034,ecard2-143
842614,ecard2-94
2293985,ecard2-94
842615,ecard2-95
2293986,ecard2-95
842550,ecard2-23
887945,ecard2-H17
2293914,ecard2-23
887936,ecard2-150
842551,ecard2-24
887946,ecard2-H18
2294041,ecard2-150
2293915,ecard2-24
842616,ecard2-96
2293987,ecard2-96
842582,ecard2-55
2293946,ecard2-55
842552,ecard2-25
887947,ecard2-H19
2293916,ecard2-25
842553,ecard2-26
887949,ecard2-H20
2293917,ecard2-26
842617,ecard2-97
2293988,ecard2-97
842618,ecard2-98
2293989,ecard2-98
842619,ecard2-99
2293990,ecard2-99
842554,ecard2-27
2293918,ecard2-27
842620,ecard2-100
2293991,ecard2-100
842621,ecard2-101
2293992,ecard2-101
842646,ecard2-130
2294021,ecard2-130
842647,ecard2-131
2294022,ecard2-131
842622,ecard2-102
2293993,ecard2-102
842555,ecard2-28
2293919,ecard2-28
842655,ecard2-139
2294030,ecard2-139
842556,ecard2-29
2293920,ecard2-29
842648,ecard2-132
2294023,ecard2-132
842624,ecard2-104
2293995,ecard2-104
842583,ecard2-56
2293947,ecard2-56
842557,ecard2-30
2293921,ecard2-30
842660,ecard2-144
2294035,ecard2-144
842558,ecard2-31
2293922,ecard2-31
842625,ecard2-105
2293996,ecard2-105
842559,ecard2-32
887950,ecard2-H21
5400915,ecard2-7
2293923,ecard2-32
887931,ecard2-106
842584,ecard2-57
2293997,ecard2-106
2293948,ecard2-57
842585,ecard2-58
2293949,ecard2-58
842586,ecard2-59
2293950,ecard2-59
842649,ecard2-133
2294024,ecard2-133
842626,ecard2-107
