PCID,TCGID,
956908,87966,
5952843,523604,
958349,94236,
6345650,NA,
7599242,NA,
959828,118846,
957018,89246,
957115,87886,
959849,118847,
5287607,497455,
5287627,497478,
5953196,523773,
5952987,523830,
958295,94670,
6550842,NA,
805884,83626,
958367,94514,
5287293,497415,
889069,89475,
959822,118840,
5608360,NA,
5287377,497502,
6277133,NA,
958416,94677,
4916989,NA,
5287588,497433,
806004,87306,
956959,88121,
5385835,NA,
806037,NA,
5952922,523750,
6277004,534447,
959827,118815,
6715205,NA,
957460,86213,
5861341,NA,
5953172,523735,
958594,96035,
806079,89284,
4653864,126304,
958747,96037,
957342,87662,
5287472,497555,
5953232,523826,
5287606,497454,
5571362,NA,
5287399,497525,
6276940,534167,
5953129,523633,
6277074,534662,
6277006,534449,
959839,118856,
5952882,523653,
958240,94505,
5953011,523854,
957489,89215,
806005,87435,
956991,86470,
889689,90705,
7667685,NA,
958265,94640,
5287641,497493,
5287589,497434,
5952970,523809,
957374,88314,
956834,90266,
806013,87572,
5953148,523656,
5287586,497431,
6657678,NA,
805899,84000,
5952832,512813,
5952993,523836,
6277174,534152,
5953247,523843,
957063,88953,
957381,84450,
6276951,534178,
957232,87177,
958246,94511,
6276944,535993,
7556189,NA,
958340,94160,
957400,86334,
958242,94507,
5287402,497528,
5953104,523946,
6277089,534730,
957470,86036,
5952979,523822,
5953114,523609,
806044,88371,
958383,94644,
958465,95892,
956820,86589,
5952935,523767,
6076507,118836,
5287471,497554,
5953218,523804,
5287741,497563,
959844,118822,
957060,85363,
957013,88460,
958700,95985,
5287325,497447,
5953163,523698,
805929,NA,
889818,84113,
957194,89017,
5287716,497583,
956956,86046,
805915,84412,
958404,94665,
5953240,523834,
6276965,534194,
958361,94508,
957151,89510,
805920,84494,
958516,95957,
957008,86883,
959846,118843,
889701,89031,
958359,94505,
956871,89431,
956935,88574,
958540,95981,
957434,84110,
958726,96016,
958369,94627,
5287647,497504,
889730,89656,
889062,85968,
956882,88985,
5953225,523813,
5287319,497442,
7322444,NA,
6276999,534442,
956841,87087,
2514092,NA,
5287676,497535,
5952890,523663,
956946,87191,
805970,86277,
5953073,523915,
2245029,NA,
5287295,497417,
5287338,497460,
957028,84855,
806033,88188,
5287634,497485,
5287448,497577,
6276982,534425,
5287372,497496,
958380,94641,
5287435,497661,
958394,94655,
5952844,523605,
5953076,523918,
957330,84110,
958544,95985,
5952865,523636,
956870,86929,
958211,94151,
957257,88623,
7667552,NA,
5287694,497645,
958396,94657,
958327,94145,
956996,90069,
956972,84526,
958585,96026,
958461,95887,
956999,85179,
6277190,534173,
5952916,523744,
958366,94513,
6277196,534180,
5953257,523853,
958229,94169,
957392,90136,
959848,118811,
6277228,534433,
957484,88210,
957108,90678,
957123,86539,
5953220,523806,
958721,96011,
957238,89373,
886664,89108,
957226,87343,
5953133,523639,
5287570,497413,
5287523,497640,
6654118,NA,
6276981,534424,
5953010,523853,
957073,86193,
5287359,497481,
957429,85574,
5983025,523649,
5953151,523661,
806063,89087,
958341,94161,
7470053,NA,
958660,95940,
805992,86837,
956817,87944,
6276949,534176,
6276935,534158,
958253,94628,
956825,88121,
958342,94162,
957424,88700,
957126,87971,
958337,94155,
5287528,497647,
956948,83533,
956847,88840,
805986,86732,
5287463,497546,
5952973,523814,
5287438,497566,
5287378,497504,
6277124,535201,
957218,87748,
959831,118819,
5953137,523643,
806092,89971,
958299,94674,
806058,88698,
958499,95939,
5953002,523845,
957145,86175,
5952961,523799,
956836,85566,
957465,83702,
6277080,534685,
958395,94656,
6276983,534426,
957214,87721,
5952946,523780,
889679,86607,
956848,86358,
957436,90097,
5985637,523618,
805950,85603,
956876,89916,
956989,90566,
957468,83672,
5952912,523735,
957387,88597,
889826,87283,
958600,96041,
5952904,523702,
959819,118798,
5952944,523778,
956851,90778,
6276927,534143,
5953140,523646,
5287675,497534,
5953265,523861,
957320,88700,
6249754,NA,
957090,84312,
805889,83759,
5287692,497638,
6021783,NA,
5287373,497498,
5608355,NA,
5287441,497570,
957261,86175,
958297,94672,
958236,94501,
889860,87633,
956819,86812,
5287430,497648,
5952840,523585,
5952888,523661,
5287358,497480,
6277240,534446,
5953045,523888,
6277079,534683,
5287657,497515,
7640356,NA,
956869,84880,
5287668,497526,
956864,85619,
958701,95986,
958515,95956,
958630,95893,
889845,85224,
805902,84076,
957331,84995,
956941,84265,
958233,94238,
958514,95955,
6276966,534197,
6277143,534731,
5571365,NA,
5952959,523796,
958273,94648,
956811,83533,
805936,85011,
958670,95951,
6277007,534451,
957275,88156,
5953017,523860,
957339,87333,
957243,87970,
5952948,523783,
5287478,497562,
889799,84079,
889848,85897,
5287576,497420,
956863,90069,
958294,94669,
957125,87970,
957276,83793,
6276932,534154,
5953236,523830,
5287487,497601,
5287470,497553,
6276960,534187,
5952901,523698,
5287341,497463,
5287469,497552,
957046,84391,
889788,87106,
6276979,534422,
806015,87624,
958221,94161,
5287337,497459,
6975907,NA,
957093,89907,
6277211,534210,
958648,95922,
5977828,NA,
958553,95994,
959854,118814,
5952898,523674,
5287335,497457,
5953103,523945,
957168,89982,
958352,94239,
6277176,534154,
956918,85332,
956899,89937,
957458,83611,
6277182,534165,
4893284,NA,
805995,86878,
957017,88980,
805901,84076,
889704,90336,
957462,86585,
958247,94512,
2244985,NA,
5287656,497514,
5287693,497643,
5287391,497517,
6277172,534149,
6277119,535185,
5952967,523806,
957357,86234,
5287622,497471,
958370,94628,
5092046,NA,
5287290,496905,
957249,90782,
958509,95950,
957354,88940,
956907,87965,
889798,83560,
956808,86688,
956958,89706,
889808,87824,
5287632,497483,
5952864,523634,
5953230,523824,
6276995,534438,
5952883,523654,
805977,86533,
6277179,534158,
6277115,535163,
5287482,497567,
5287369,497491,
5287363,497485,
958326,94144,
5287294,497416,
5953185,523757,
956978,87120,
5953165,523700,
957474,88329,
958712,96000,
5952950,523786,
959841,118841,
805994,86878,
5287646,497502,
957052,89849,
805930,84824,
889063,84228,
957019,86484,
889750,88813,
957447,89422,
957036,89270,
957186,84082,
958375,94636,
889859,87361,
957031,89945,
957119,89373,
958746,96036,
957431,89407,
957044,83823,
957012,84420,
957061,90043,
6276998,534441,
6277147,NA,
5287643,497498,
5952924,523752,
5953202,523783,
5952847,523608,
958334,94152,
5287544,497670,
5952866,523637,
5287312,497434,
5287596,498857,
957319,86624,
5287446,497575,
5953167,523705,
5287381,497507,
5952929,523758,
5287437,497561,
5953255,523851,
5287450,497579,
957051,88158,
5287532,497653,
957109,90679,
806007,87448,
957492,88157,
957059,85350,
957472,86424,
958397,94658,
958656,95931,
958257,94632,
956821,86046,
958634,95898,
958662,95942,
6276961,534188,
957409,87250,
5287401,497527,
6389011,NA,
5953077,523919,
5287690,497632,
958374,94634,
5953149,523657,
5287620,497469,
956938,89988,
5287724,497545,
958355,94502,
958324,94142,
6573160,NA,
5287525,497642,
957150,89518,
805911,84288,
958679,95962,
889832,89199,
958688,95971,
889687,89085,
5953012,523855,
958249,94514,
806082,89299,
958413,94674,
956947,85540,
958219,94159,
5953147,523654,
5287340,497462,
6276945,534171,
5287365,497487,
5287720,497588,
5953139,523645,
5953221,523807,
6277101,535110,
889781,85634,
806087,89658,
957055,88005,
889699,87377,
805921,84557,
5953213,523796,
889861,84541,
957027,84866,
886651,84803,
958237,94502,
956981,86358,
956966,87149,
889061,84212,
805974,86528,
957445,87662,
805982,86713,
956988,86501,
6390597,NA,
6277203,534187,
957306,84455,
957252,87265,
958279,94654,
5287421,497593,
5953055,523897,
956976,87111,
957242,86546,
957315,90405,
957394,85595,
957178,86416,
5287415,497542,
958414,94675,
5287597,497443,
805941,85141,
956971,86308,
889729,89447,
956845,87119,
958520,95961,
957128,83849,
958731,96063,
958506,95947,
956850,90777,
959857,118857,
889869,87200,
5768419,NA,
889073,88339,
5287515,497629,
6277113,535155,
5287677,497536,
6276954,534181,
5287571,497414,
5952972,523813,
5287390,497516,
5952977,523818,
805913,84395,
5287488,497602,
957439,84963,
958224,94164,
889793,88017,
806052,88547,
958268,94643,
958734,96024,
5952949,523784,
889707,83696,
958736,96026,
886650,84101,
956801,89988,
957347,85834,
7638573,NA,
958392,94653,
958459,95886,
805980,86711,
5287436,497662,
959833,118821,
5287740,497562,
6836321,NA,
5287653,497511,
6277040,534512,
5953190,523765,
5952931,523762,
5287383,497509,
957203,90267,
957351,86969,
5953120,523616,
5952936,523768,
957147,87467,
806088,89765,
805904,84081,
805933,85003,
5287674,497533,
5287422,497594,
958742,96032,
5952925,523753,
957258,88608,
957362,86333,
958305,94681,
957148,86432,
956867,85180,
805917,84460,
5952857,523619,
957416,83461,
957205,84515,
958300,94675,
5953156,523666,
957217,87730,
5287328,497450,
957340,83676,
6345545,NA,
5287303,497425,
958317,94135,
5287603,497450,
2244998,NA,
5953132,523638,
5953252,523848,
5953098,523940,
957099,87748,
5953250,523846,
956881,86728,
889813,90369,
5952836,512831,
957070,86590,
958699,95982,
5287575,497419,
805954,NA,
886658,85734,
5953038,523881,
806009,87509,
957473,88314,
806055,88563,
957228,90679,
958479,95906,
5952839,523584,
957415,89148,
957427,89404,
5287566,497699,
958346,94166,
5287581,497425,
5427069,NA,
956878,84420,
889671,84453,
958272,94647,
5287323,497445,
889741,85897,
805984,86722,
957142,88608,
5952990,523833,
957038,90498,
889066,87376,
958325,94143,
889851,88383,
5952837,512828,
6277005,534448,
5287360,497482,
5287600,497446,
958239,94504,
5287518,497633,
957015,86728,
5287695,497648,
958329,94147,
5978907,523725,
5287380,497506,
5953153,523663,
805886,83723,
956962,86821,
5953066,523908,
956895,84349,
5287375,497500,
806061,88756,
889853,89203,
958612,96053,
958196,94136,
958336,94154,
805890,83759,
6276917,528080,
958271,94646,
956832,87149,
957382,85231,
958316,94134,
958573,96014,
957328,83442,
805997,86900,
6277183,534166,
6276915,NA,
5953197,523774,
5287702,497561,
5952853,523615,
5287616,497465,
805966,86164,
958263,94638,
5287329,497451,
956806,89092,
958288,94663,
805925,84804,
5953122,523618,
4916977,NA,
958494,95929,
956807,89668,
958323,94141,
957177,90547,
6276926,534142,
958661,95941,
958208,94148,
805993,86837,
958487,95922,
5953039,523882,
5287661,497519,
958556,95997,
5952969,523808,
806029,88149,
959843,118818,
957326,88691,
889075,88385,
957132,86244,
805973,86468,
889680,87106,
958538,95979,
957401,84809,
5287307,497429,
958350,94237,
5953052,523895,
958675,95958,
805945,89805,
6610725,89805,
5287304,89805,
6179525,89805,
5441925,89805,
5287310,89805,
5287700,89805,
5287357,89805,
5287599,89805,
5287553,89805,
5287732,89805,
5287491,89805,
5953143,89805,
6277199,534183,
5952845,523606,
5287572,497415,
5287386,497512,
889858,84688,
957455,86970,
958743,96033,
5287327,497449,
957270,85694,
957407,88598,
958365,94512,
5953040,523883,
956994,90067,
957451,85838,
805898,83991,
956970,85566,
5953004,523847,
959829,118848,
805909,84176,
806032,88188,
806035,89807,
5287343,497465,
956964,84117,
889070,90439,
958739,96029,
957253,84939,
957440,84951,
6276959,534186,
958368,94515,
5953160,523674,
7437050,NA,
7047798,NA,
5287476,NA,
6276955,NA,
5287549,NA,
5287454,NA,
6277236,NA,
5287651,NA,
5952873,NA,
5952988,NA,
5952971,NA,
5953155,NA,
5953242,NA,
5953054,NA,
5952995,NA,
5287457,NA,
5952994,NA,
5952899,NA,
5953057,NA,
6277169,NA,
6277180,NA,
6277027,NA,
6277064,NA,
5287395,NA,
7322448,NA,
5287530,NA,
6610724,NA,
7322438,NA,
5287678,NA,
5287636,NA,
5953204,NA,
5953199,NA,
5287583,NA,
5287681,NA,
6277165,NA,
6277078,NA,
5952914,NA,
5287713,NA,
6277150,NA,
5287492,NA,
5953244,NA,
6277053,NA,
6277214,NA,
5287409,NA,
6276970,NA,
6277208,NA,
5953111,NA,
5287493,NA,
5983536,NA,
7322439,NA,
6277097,NA,
5287543,NA,
5287447,NA,
5287665,NA,
5287562,NA,
5287394,NA,
5287593,NA,
6277209,NA,
6277067,NA,
5287400,NA,
5287311,NA,
5287288,NA,
5287623,NA,
5287585,NA,
5287592,497437,
958202,94142,
5953041,523884,
958255,94630,
5952989,523832,
958400,94662,
956915,84389,
956839,83754,
957181,85350,
6277245,534452,
5952941,523773,
957114,88366,
4895159,NA,
958588,96029,
958241,94506,
957047,85312,
957422,83898,
957159,89848,
889850,88010,
5952992,523835,
889724,89042,
958488,95923,
958201,94141,
957446,89208,
957432,83442,
957314,86631,
958267,94642,
956924,88155,
956903,86845,
957369,83672,
5953231,523825,
5953134,523640,
5287318,497440,
5952928,523757,
806110,90707,
6021782,NA,
5287349,497471,
6276972,NA,
5287731,497552,
5287353,497475,
6277198,534182,
5287671,497529,
957095,87721,
957268,85510,
956852,85798,
958616,96057,
805971,86277,
886660,85736,
957336,84963,
958200,94140,
5287459,497591,
956849,85613,
5287639,497491,
957020,86477,
958706,95994,
959838,118824,
958596,96037,
889731,89959,
806043,89806,
957372,84980,
958319,94137,
805897,83991,
806003,87306,
956917,85312,
956868,83780,
958205,94145,
957229,84387,
806022,87833,
957113,87177,
5952893,523666,
806102,90442,
5953015,523858,
6277161,NA,
5287648,497505,
805976,86533,
5953142,523649,
957120,90535,
958218,94158,
889078,85460,
2418321,NA,
5953217,523803,
4565759,NA,
805879,83517,
886662,89107,
6277222,534425,
956963,86901,
6249705,NA,
956990,88565,
805907,84122,
5952951,523787,
5953007,523850,
886652,84802,
806091,89961,
956909,90498,
5287698,497659,
957215,87739,
957264,86432,
957240,88916,
5287354,497476,
957016,88985,
805959,85918,
6277017,NA,
5287734,497555,
5952984,523827,
5287540,497666,
958724,96014,
5287494,497608,
5953152,523662,
957143,85092,
5953158,523671,
889705,90369,
889682,87446,
958358,94506,
958694,95977,
957334,85069,
957005,89431,
958220,94160,
958624,95887,
957223,88858,
889857,88813,
958681,95964,
958737,96027,
958570,96011,
957102,87595,
957490,89216,
6276990,534433,
959821,118810,
959835,118823,
889060,85136,
956888,85022,
958623,95886,
6342613,NA,
6276986,534429,
7747148,NA,
805900,84000,
806016,87624,
959824,118812,
958389,94650,
6276923,534137,
958214,94150,
5287464,497547,
957137,84916,
957457,83608,
806094,89986,
957272,89642,
956898,89396,
956828,86821,
6276952,534179,
958372,94631,
5385834,NA,
956875,86884,
5952869,523640,
958642,95907,
5985070,523884,
956987,86500,
6277218,534420,
956936,90081,
956942,84258,
806046,88377,
957308,86427,
5952991,523834,
805981,86711,
5287711,497577,
889058,83786,
958484,95919,
957002,88005,
959847,118825,
5287462,497545,
957426,89607,
6604515,NA,
957216,87711,
958321,94139,
806001,87162,
6276950,534177,
956813,84291,
805934,85003,
5952917,523745,
6276930,534152,
957411,84455,
958270,94645,
6277049,534521,
805956,85816,
956857,88565,
957213,90736,
886655,85736,
6277223,534426,
958235,94500,
958378,94639,
958387,94648,
958415,94676,
5952975,523816,
958243,94508,
956855,86501,
957317,90493,
889843,84921,
889801,84410,
5287342,497464,
957384,88160,
6627608,NA,
957443,83676,
5953034,523877,
5287666,497524,
5983315,523700,
6277132,NA,
958333,94151,
6277111,535151,
5953113,523608,
957006,88761,
6675476,NA,
5325462,NA,
5953138,523644,
5287489,497603,
958373,94632,
889846,85256,
805885,83723,
5287388,497514,
958586,96027,
805881,83543,
958330,94148,
958502,95942,
805892,83894,
889810,89098,
889077,86763,
958680,95963,
805961,86005,
957179,83773,
889694,85754,
889071,85242,
5287611,497459,
6277085,534699,
889711,84113,
956844,87120,
805905,84102,
956950,87573,
806048,88439,
5287427,497638,
957106,87343,
889074,85243,
5287610,497458,
6277039,534511,
957313,85665,
889805,86980,
6675475,547654,
5287546,497676,
957274,89848,
6277200,534184,
958213,94154,
957343,89208,
957231,87700,
956939,84398,
957333,90097,
6392495,NA,
956858,86470,
957380,84085,
957349,86999,
958490,95925,
805896,83922,
958597,96038,
6942613,NA,
6277029,NA,
5952964,523803,
956944,89668,
5953124,523621,
5287738,497559,
956843,87112,
6277191,534174,
6277102,NA,
5952907,523706,
5953060,523902,
6042496,NA,
956830,84117,
958266,94641,
805942,85200,
959855,118820,
806030,88178,
4895157,NA,
956986,84491,
958534,95975,
957307,90063,
957483,88160,
956965,89103,
958409,94670,
889815,83696,
957083,90267,
805908,84122,
957454,86969,
889862,90474,
5952859,523622,
956977,87112,
7465390,NA,
956835,90275,
889076,88340,
957459,86234,
7638572,NA,
806086,89658,
4928494,NA,
957134,87265,
956901,89925,
958546,95987,
958513,95954,
958403,94664,
5287344,497466,
806021,87833,
5953084,523926,
6277042,534514,
5953083,523925,
957471,84980,
957039,90499,
957441,90261,
958548,95989,
958587,96028,
957097,87711,
958640,95905,
805926,84802,
889774,83515,
957100,85915,
957267,89510,
5287405,497531,
956861,90067,
957391,89216,
958649,95923,
956911,83946,
7211614,NA,
956979,87119,
957248,84732,
958567,96008,
957376,88319,
7023916,NA,
957385,88210,
957124,86546,
6276946,534173,
5952863,523633,
5952952,523788,
5952902,523699,
889727,89297,
5287431,497650,
5287537,497663,
958226,94166,
5287486,497600,
957442,87333,
889740,85751,
957433,89922,
889822,86385,
805912,84288,
959837,118854,
805964,86008,
806090,89961,
957185,84077,
5287461,497544,
5287356,497478,
889700,87824,
957161,86729,
958468,95895,
5287324,497446,
806019,87802,
957371,86036,
5287629,497480,
956831,89103,
959851,118849,
889748,84331,
5952872,523643,
957236,86017,
7719082,NA,
5287733,497554,
958410,94671,
5287366,497488,
805958,85912,
5287299,497421,
5953063,523905,
6276971,534414,
958289,94664,
7328202,538219,
5287519,497634,
958310,94660,
806018,87773,
958222,94162,
956923,90385,
958203,94143,
958343,94163,
889771,88422,
958259,94634,
5952838,517210,
806085,89495,
958245,94510,
958729,96019,
958393,94654,
958398,94659,
805928,84810,
956985,85798,
957365,89131,
958533,95974,
957310,83461,
886656,85735,
958225,94165,
957366,88901,
6021779,NA,
5953144,523651,
957430,88691,
958684,95967,
957390,89215,
889706,83635,
958722,96012,
5953145,523652,
956995,90068,
5952927,523756,
889734,90656,
6277015,534466,
5952918,523746,
5984399,523797,
6240295,NA,
958636,95900,
5953130,523634,
6276956,534183,
5952943,523777,
5401632,NA,
889709,83787,
958309,94685,
957420,89499,
5287481,497565,
889787,86607,
957316,89499,
889067,88166,
957395,85596,
956973,83754,
956860,85738,
956822,89498,
956885,86484,
806026,87917,
957425,87835,
4780173,NA,
889829,88299,
958659,95939,
889715,86385,
886653,84804,
956975,87087,
957414,86427,
4916995,NA,
957379,84244,
6277201,534185,
2245001,NA,
958753,95896,
806057,88571,
956919,85334,
957377,89861,
957480,84450,
5287313,497435,
957054,88155,
6277226,534430,
957417,85661,
6277103,535122,
6277156,535101,
957153,85510,
4395870,NA,
886657,85734,
957050,86256,
958579,96020,
889844,85218,
957487,88725,
