PCID,TCGID,
926212,undefined,
926089,undefined,
926191,undefined,
926111,undefined,
926213,undefined,
926141,undefined,
926244,undefined,
926112,undefined,
926155,undefined,
926214,undefined,
6769872,undefined,
6769871,undefined,
6769560,undefined,
6769779,undefined,
6769622,undefined,
6769835,undefined,
6769602,undefined,
6769818,undefined,
6769617,undefined,
6769831,undefined,
6769562,undefined,
6769781,undefined,
6769618,undefined,
806906,undefined,
925300,undefined,
806996,undefined,
2396879,undefined,
2573463,undefined,
806882,undefined,
925293,undefined,
806777,undefined,
807005,undefined,
806786,undefined,
1287336,undefined,
806846,undefined,
1287099,undefined,
806788,undefined,
806768,undefined,
6254480,undefined,
806912,undefined,
1287189,undefined,
806750,undefined,
806801,undefined,
1287268,undefined,
6931965,undefined,
1287138,undefined,
1287128,undefined,
1287338,undefined,
1287214,undefined,
1287239,undefined,
925239,undefined,
807259,undefined,
643502,undefined,
6618952,undefined,
806755,undefined,
806780,undefined,
806802,undefined,
6142518,undefined,
806926,undefined,
1287081,undefined,
925238,undefined,
1287323,undefined,
925285,undefined,
957971,undefined,
925284,undefined,
2573464,undefined,
807287,undefined,
806955,undefined,
886432,undefined,
963024,undefined,
6916241,undefined,
962981,undefined,
849723,undefined,
1341394,undefined,
963089,undefined,
1341409,undefined,
886429,undefined,
1341824,undefined,
643454,undefined,
807268,undefined,
849631,undefined,
849655,undefined,
962987,undefined,
643455,undefined,
1341799,undefined,
1341370,undefined,
962919,undefined,
643477,undefined,
957950,97997,
957965,98013,
5837162,NA,
1287136,83717,
6495756,542829,
807056,208271,
926207,88042,
957959,97979,
806864,126992,
957957,97978,
1287134,90454,
6495536,542820,
4405318,127389,
4781256,NA,
4580121,NA,
957977,98023,
807247,208268,
957978,97992,
926251,86530,
6495760,542833,
849683,89798,
849754,84895,
926210,89878,
4234476,NA,
963132,183954,
957980,97994,
6495469,542759,
3969966,208037,
4135579,241093,
926223,85656,
849638,89772,
6142478,NA,
2674697,NA,
4780191,NA,
807098,208442,
849607,89842,
3920922,208031,
6495739,542811,
925257,87465,
962837,183812,
7532304,NA,
849727,89823,
806951,126946,
7557939,NA,
6495788,542868,
925277,88090,
807290,208516,
6495769,542842,
6160659,NA,
1431197,208269,
925251,85387,
6142505,NA,
807248,208270,
807213,208504,
6495819,542671,
1287156,86529,
807184,208414,
6495600,542651,
6495770,542844,
957953,98024,
807221,208507,
807085,208276,
925288,85898,
6495535,542819,
806994,126993,
962912,183901,
6142561,NA,
849720,89794,
962928,183919,
5732712,515670,
886422,88780,
7471126,NA,
807095,208489,
6495699,542765,
6495786,542863,
849726,89822,
6142527,NA,
7226038,NA,
925884,86966,
806778,126900,
807174,208440,
1287332,90079,
807257,208418,
806993,126992,
886380,88775,
6495621,542681,
962867,183847,
7445275,570363,
962931,183922,
962990,183929,
926241,90309,
849652,89815,
6495592,542876,
926182,85817,
962803,183776,
806805,126928,
1287173,87615,
957972,NA,
806910,126900,
6249573,NA,
4034205,283838,
806753,126875,
1287100,84103,
849606,89836,
6495584,542868,
849732,89839,
926084,86967,
925291,87223,
849572,89788,
849751,90478,
806925,126917,
926097,86938,
6495559,542843,
962843,183820,
1287057,88746,
7413809,210566,
925260,88452,
807160,208347,
6142496,NA,
926184,86534,
925322,87139,
6142532,NA,
807037,208366,
7457054,NA,
1431215,208354,
926236,89276,
849594,89776,
962869,183849,
1287224,84466,
886428,84628,
6142483,NA,
963074,183866,
926074,83528,
807288,208409,
962848,183825,
806828,126956,
806934,126926,
807185,208415,
925328,89562,
807166,208493,
926087,88034,
963085,183883,
6495793,542873,
6495476,542678,
926120,84936,
926115,83810,
849741,89768,
6495568,542852,
5880354,NA,
7599854,NA,
6136581,NA,
807134,208390,
925376,89704,
6142510,NA,
1287330,89525,
4286275,NA,
849673,89825,
1431225,208313,
807040,208467,
963118,183930,
807169,208350,
4034194,283824,
806947,126941,
807000,126999,
1287243,88933,
849744,89771,
1287174,89176,
962882,183862,
1431236,208417,
6495733,542805,
1287122,88138,
925371,88821,
849752,83565,
962817,183790,
