PCID,TCGID,
850135,83807,
6636088,NA,
961747,165742,
961886,165743,
955476,88806,
961910,165789,
955630,98710,
2512976,246790,
5811213,NA,
4081652,NA,
957927,91217,
6865016,NA,
955429,NA,
958145,92229,
4954844,NA,
2512952,246766,
957992,92178,
4134583,NA,
6469364,NA,
957919,91207,
960047,117855,
4894334,NA,
2158339,NA,
959896,117799,
959991,117772,
7599146,NA,
958188,92282,
959945,117861,
7096060,NA,
959901,117804,
7557915,NA,
2513106,246871,
842523,89635,
955542,NA,
959881,117786,
4081655,NA,
961679,165663,
842516,87635,
2512866,246897,
2677918,98675,
955499,85429,
958025,92219,
5810876,NA,
2771238,253309,
958078,92277,
959972,117887,
955607,87474,
955560,89725,
4695524,NA,
2513072,246844,
2771259,253106,
2771065,253136,
957891,91173,
957750,91136,
961693,165681,
955591,90429,
960016,117799,
2513057,246828,
5830336,NA,
2513120,246905,
2512930,246915,
955513,88842,
959918,117836,
2513136,246918,
2771099,253215,
2771323,253090,
961860,165704,
2512939,246853,
6857878,NA,
961671,165655,
2512897,246883,
2512890,246864,
960070,117877,
5864073,NA,
850150,87075,
959957,117872,
2513141,246850,
959887,117790,
2512959,246773,
955638,98715,
955462,90625,
7274568,NA,
959956,117871,
2266970,86991,
4895142,NA,
2513112,246884,
961858,165702,
961859,165703,
2771038,253079,
2775139,124105,
2513171,246785,
960311,124036,
850064,88239,
960023,117807,
961912,165777,
957765,91151,
955652,98709,
2512823,246826,
2512962,246776,
955445,87941,
6396935,NA,
961895,165759,
2771473,253338,
957889,91170,
960030,117814,
960453,124090,
2771442,253367,
850001,86025,
958032,92226,
957814,91204,
958127,92209,
961884,165741,
955632,NA,
955543,84719,
959963,117877,
2244958,NA,
2771162,253334,
2771194,253379,
957864,91141,
955564,89204,
960007,117790,
961835,165679,
2771168,253346,
958114,92196,
2771324,253092,
2771361,253199,
6916444,NA,
961847,165692,
2771130,253257,
2512911,246905,
959865,117771,
850120,87173,
959875,117780,
955625,98694,
959907,117810,
958155,92242,
957846,91236,
