PCID,TCGID,
925834,84501,
921195,86014,
6666565,NA,
806164,89257,
4614302,NA,
5254017,NA,
4528949,NA,
5253064,NA,
960736,130990,
7557962,NA,
6715191,NA,
921310,88465,
7323484,NA,
960774,131040,
5254057,NA,
4614327,NA,
921215,84018,
7566545,NA,
5880748,NA,
4334533,NA,
921292,90598,
5880870,NA,
4614398,NA,
6666564,NA,
5880691,NA,
5254046,NA,
960527,130930,
921271,89923,
3473104,NA,
889245,90340,
5880730,NA,
5880769,NA,
806305,90444,
960549,130958,
3667031,276995,
5253934,NA,
889227,84091,
2975523,113688,
960750,131010,
806118,86115,
959761,113707,
2978683,113699,
5254006,NA,
6646780,NA,
3473067,NA,
889229,84336,
889251,83728,
4614330,NA,
959797,113753,
960775,131041,
4614406,NA,
5880701,NA,
5880780,NA,
5253937,NA,
959744,113690,
6011528,NA,
921279,86254,
762156,83873,
762166,85301,
5881404,NA,
5880851,NA,
921361,88356,
5254015,NA,
5253983,NA,
3666977,276947,
5880798,NA,
5253977,NA,
960740,130994,
925837,87220,
921168,84066,
806230,89317,
806302,89552,
5253999,NA,
921290,90459,
3667077,274459,
960743,131000,
5253980,NA,
3669779,271514,
5880788,NA,
5880746,NA,
6377912,NA,
6177496,NA,
806298,89068,
4614275,NA,
889246,90576,
5880808,NA,
2358236,NA,
5253986,NA,
5205169,NA,
3765632,NA,
5880807,NA,
2156521,86869,
806131,85362,
4614345,NA,
2245049,NA,
5253955,NA,
4614280,NA,
849849,89646,
5489516,NA,
762202,88884,
960561,130974,
762312,87251,
960677,130757,
889250,83714,
806128,83618,
806318,88392,
5254037,NA,
960721,130972,
2782389,113713,
3473071,NA,
964042,197666,
2975522,113690,
6088873,NA,
762104,83985,
3667104,276985,
849856,90770,
849812,86840,
5253929,NA,
762157,83963,
849959,83553,
849846,89399,
959780,113726,
5880836,NA,
2864132,113661,
5253982,NA,
762100,87789,
5253970,NA,
849806,84849,
5254040,NA,
806180,86319,
5878525,NA,
3669777,277884,
925844,85997,
1450286,87544,
849860,83556,
964049,197673,
889109,88676,
806176,85732,
806243,86620,
960560,130973,
5253989,NA,
5254025,NA,
5880829,NA,
921357,83551,
4614264,NA,
5880872,NA,
959777,113723,
921227,86413,
762101,87524,
3010354,NA,
762185,83981,
4614287,NA,
3473054,NA,
960516,130767,
5253991,NA,
806297,88926,
5790885,NA,
6666560,NA,
5253951,NA,
889193,84456,
4614324,NA,
806265,87391,
5880898,NA,
762194,87535,
889254,85137,
921330,86262,
762307,NA,
4614320,NA,
5880796,NA,
849844,89038,
960668,130687,
960533,130936,
960572,130987,
960769,131032,
960768,131031,
2414197,90504,
3399982,NA,
2978698,113718,
4614387,NA,
960783,131049,
762117,89035,
964211,197678,
2381912,85436,
960596,131015,
5880911,NA,
5451767,NA,
889252,84118,
762274,83965,
4614328,NA,
889157,88053,
964081,197716,
4614378,NA,
889170,88591,
849797,88684,
5880787,NA,
5254004,NA,
960672,130691,
2771604,253389,
3667105,276988,
762122,85213,
806212,88400,
960537,130942,
806261,85482,
964024,197646,
2677915,85464,
889119,84406,
6088871,NA,
3473072,NA,
960747,131004,
806185,87204,
964200,197666,
762319,90386,
5880778,NA,
6047559,NA,
925840,85484,
921360,87579,
3812828,277791,
3667024,276983,
762310,85578,
806255,83923,
849923,89459,
964063,197687,
959732,113678,
5880912,NA,
3473051,NA,
964134,NA,
2677908,85879,
849821,89459,
6254481,NA,
806306,90637,
960508,130757,
959747,130757,
2978705,130757,
921176,130757,
921197,130757,
3666990,130757,
921216,130757,
921338,130757,
959752,113698,
960578,130993,
960566,130979,
960734,130988,
3667087,276990,
806280,84977,
6021834,NA,
2775136,113737,
762140,83979,
5880818,NA,
964058,197682,
960607,131028,
806268,88486,
921192,85844,
762231,86504,
849965,86730,
3473094,NA,
959779,NA,
2978701,NA,
3667071,NA,
3667046,NA,
921251,NA,
921171,NA,
3667088,NA,
921293,NA,
921327,NA,
960667,NA,
3179769,NA,
959784,NA,
2978661,NA,
3666983,NA,
3666982,NA,
960519,NA,
3179767,NA,
921261,NA,
5428221,NA,
921196,NA,
3667018,NA,
3010356,NA,
921258,NA,
921324,NA,
921294,NA,
3667025,NA,
960539,NA,
921311,NA,
762207,NA,
921336,NA,
925847,NA,
3667026,NA,
960746,NA,
959741,NA,
3667101,NA,
2775126,NA,
3667010,NA,
921334,NA,
6795207,NA,
3667004,NA,
2867111,NA,
921276,NA,
3667080,NA,
2775131,NA,
3773754,NA,
3667029,NA,
921217,NA,
3667089,NA,
3667075,NA,
3667039,NA,
2368840,NA,
3666997,NA,
959745,NA,
2978710,NA,
3923195,NA,
921235,NA,
3773755,NA,
3666965,NA,
959748,NA,
959755,NA,
3666999,NA,
921199,NA,
3667073,NA,
3666993,NA,
3667066,NA,
921224,NA,
921264,NA,
959802,NA,
921174,NA,
921329,NA,
921252,NA,
960631,NA,
960649,NA,
3812628,NA,
3667082,NA,
3667109,NA,
3667084,NA,
960694,NA,
1450287,NA,
3667014,NA,
3667040,NA,
921156,NA,
960573,NA,
960588,NA,
3667091,NA,
960505,NA,
960534,NA,
762294,NA,
960701,NA,
960733,NA,
925841,NA,
2410625,NA,
960637,NA,
3666978,NA,
3667053,NA,
925846,NA,
3667050,NA,
3667016,NA,
925839,NA,
925859,NA,
960521,NA,
925829,NA,
1450281,NA,
3667103,NA,
6339995,NA,
925832,NA,
3666971,NA,
762218,NA,
921275,NA,
925845,NA,
3667006,NA,
925851,NA,
921189,NA,
3666969,NA,
921295,NA,
6733469,NA,
960555,NA,
921257,NA,
960742,NA,
925826,NA,
1450280,NA,
762304,NA,
960759,NA,
960655,NA,
1450247,NA,
925849,NA,
762217,NA,
925858,NA,
960582,NA,
1450246,NA,
3666976,NA,
3667085,NA,
959807,NA,
960782,NA,
921170,NA,
2978696,NA,
1450277,NA,
1450294,NA,
1450211,NA,
1450196,NA,
959731,NA,
2978709,NA,
2978689,NA,
762208,NA,
2978707,NA,
762285,NA,
2411342,NA,
3667007,NA,
960722,NA,
762267,NA,
1450255,NA,
960559,NA,
1450274,NA,
762269,NA,
960670,NA,
3667074,NA,
1450243,NA,
921222,NA,
960724,NA,
3667027,NA,
960720,NA,
1450258,NA,
3667113,NA,
2978673,NA,
1450220,NA,
3666992,NA,
762308,NA,
1450306,NA,
3667078,NA,
959719,NA,
762239,NA,
1450260,NA,
2978692,NA,
3667079,NA,
7407188,NA,
2418130,NA,
921173,NA,
2418131,NA,
959749,NA,
762282,NA,
2978703,NA,
959776,NA,
1450261,NA,
960678,NA,
3010355,NA,
960597,NA,
921229,NA,
1450240,NA,
959753,NA,
762240,NA,
762252,NA,
1450198,NA,
1450270,NA,
1450229,NA,
762281,NA,
762242,NA,
960633,NA,
921335,NA,
960569,NA,
960737,NA,
1450234,NA,
762247,NA,
921283,NA,
921253,NA,
960752,NA,
2978677,NA,
921304,NA,
762276,NA,
3666980,NA,
960689,NA,
762277,NA,
959756,NA,
921305,NA,
960528,NA,
959757,NA,
762249,NA,
960712,NA,
921200,NA,
960548,NA,
2978676,NA,
960606,NA,
762278,NA,
960660,NA,
960659,NA,
3667009,NA,
960621,NA,
921254,NA,
960620,NA,
921234,NA,
960776,NA,
4780177,NA,
921265,NA,
2978700,NA,
921180,NA,
921260,NA,
921286,NA,
960594,NA,
921308,NA,
960690,NA,
921309,NA,
921341,NA,
960749,NA,
960709,NA,
960586,NA,
921256,NA,
960598,NA,
7414177,NA,
921160,NA,
959772,NA,
2978668,NA,
3667002,NA,
921268,NA,
921206,NA,
960616,NA,
960615,NA,
959790,NA,
960614,NA,
921288,NA,
960700,NA,
921342,NA,
960684,NA,
921345,NA,
3667003,NA,
960592,NA,
959729,NA,
960770,NA,
960739,NA,
3667093,NA,
921349,NA,
921244,NA,
921316,NA,
