PCID,TCGID,
964411,201295,
5529192,NA,
7446390,NA,
7446450,NA,
887475,223048,
6377622,NA,
961916,170807,
926423,88004,
7628974,NA,
2253840,241687,
887484,223057,
956734,89726,
6869864,NA,
960957,138274,
956607,90431,
2253923,NA,
3219477,263856,
3219494,263869,
961938,170837,
3219488,257309,
2254154,241838,
961047,138602,
926318,88052,
961032,138581,
6416966,NA,
7446330,NA,
964592,201265,
956668,88804,
964688,201317,
6138841,NA,
956731,90010,
964528,201183,
960873,138581,
960880,138590,
962225,171005,
962151,170874,
887444,223007,
2254090,241724,
3219402,263741,
956790,88193,
6219736,NA,
956520,89749,
2254076,241704,
7446344,NA,
3188315,263809,
964515,201155,
6245984,NA,
960879,138589,
926411,84359,
961918,170810,
887522,223022,
4637137,478060,
3188305,263797,
956587,90296,
887530,223039,
962050,170998,
964376,201182,
5515067,NA,
961246,149125,
4892198,NA,
964401,201647,
962114,170829,
961925,170819,
960826,138524,
2253919,241791,
964599,201274,
6837198,NA,
7310597,NA,
4781187,NA,
964436,201319,
961219,149099,
962200,170977,
4892206,NA,
4637008,478140,
961917,170808,
962135,170859,
7446311,NA,
964444,201326,
7446362,NA,
4765926,NA,
964431,201314,
6777963,NA,
962121,170839,
887439,223003,
964602,201277,
4636907,478060,
4892152,NA,
6245977,NA,
3188259,263733,
2253807,241648,
4476211,NA,
4637026,478181,
956782,88059,
4562548,252817,
956589,88970,
964392,201202,
7310386,NA,
887553,223063,
4636966,478197,
6791480,NA,
964245,201153,
6347243,NA,
964240,201132,
961307,149062,
964635,201181,
961926,170820,
5691819,NA,
956558,89687,
6777960,NA,
961990,170898,
2254111,241755,
956690,89884,
961308,149063,
4892151,NA,
5334193,NA,
926386,87594,
6167090,NA,
3188240,263703,
964337,201274,
4636913,478089,
2254040,241651,
5704540,NA,
961238,149117,
4892200,NA,
3219439,263801,
2253862,241715,
4643451,491050,
964290,201228,
964398,201281,
962056,NA,
5917176,NA,
926335,88703,
960954,138271,
926428,88131,
962122,170840,
962111,170826,
962037,170984,
964439,201322,
7446319,NA,
2254072,241694,
961330,149088,
961314,149069,
964567,201240,
2254099,241733,
962118,170834,
7446391,NA,
3219485,263861,
926328,84428,
3219436,263798,
961066,138627,
2254112,241760,
961968,170873,
926371,86881,
964258,201926,
926294,85485,
964662,201291,
4637163,478156,
4990416,NA,
4637227,478182,
4637219,478163,
964547,201220,
962044,170991,
7446462,NA,
926260,86126,
3188294,263786,
960883,138593,
956619,88622,
964427,201312,
960961,138278,
960800,138286,
2254069,241691,
962117,170832,
2254093,241727,
4602697,NA,
3188337,263834,
4892201,NA,
956527,89078,
3219374,263580,
2253855,241706,
2253873,241729,
3219410,263757,
3346511,NA,
962116,170831,
956648,88803,
887478,223051,
961150,149024,
3219394,263731,
960799,138285,
3188251,263725,
960888,138600,
2254107,241751,
960976,138507,
961363,149092,
926424,88052,
887482,223055,
956691,88062,
962183,170923,
964364,201166,
5427284,231470,
962094,171024,
964526,201175,
964324,201260,
962108,170820,
962113,170828,
964572,201244,
964593,201266,
4442256,NA,
3219376,263585,
3188244,263705,
960808,138502,
3188402,264209,
926290,90708,
964244,201142,
962097,170806,
2254054,241674,
7446456,NA,
887532,223041,
960822,138518,
961971,170878,
956724,89479,
2253912,241782,
887545,223055,
926373,87061,
4892180,NA,
926316,87512,
964247,201156,
956733,90627,
4636989,478231,
961176,149051,
960829,138527,
960972,138500,
961025,138565,
961986,170894,
961056,138611,
956741,88935,
4892143,NA,
961004,138538,
4892208,NA,
964361,201158,
961992,170900,
6011535,NA,
2253843,241690,
961967,170872,
2254161,241852,
964666,201295,
961295,149047,
2253953,241852,
7446356,NA,
2254142,241814,
962176,170911,
