PCID,TCGID,
7274487,NA,
963926,195065,
1287467,85013,
5108594,NA,
926049,84058,
963609,194964,
6793312,NA,
963207,189150,
6769778,550123,
6769528,550092,
963250,189193,
6769534,550098,
6769730,550070,
963663,195030,
6769570,550134,
963686,195075,
963840,194933,
6769806,550153,
1287508,90776,
887656,226562,
961366,157620,
806724,83822,
5927172,NA,
961544,157626,
6769877,544182,
963678,195065,
887862,226504,
963472,189188,
806612,86009,
925991,85552,
961660,157751,
5861292,NA,
7095327,NA,
6905739,NA,
6769487,550051,
7095332,NA,
806645,89230,
6400086,NA,
961405,157659,
887658,226564,
5431869,NA,
806655,89554,
1287472,87491,
6769615,550179,
806504,86696,
961449,157703,
963842,194935,
1287417,85264,
806614,87658,
7286051,NA,
6769719,550058,
5430046,NA,
1287396,87510,
806673,90297,
806578,87972,
5700095,NA,
806564,85984,
963688,195078,
7128617,NA,
6769514,550078,
5672086,NA,
6869615,NA,
926016,89308,
963757,195226,
6769485,550049,
925996,87341,
963393,189042,
806591,84867,
6769583,550147,
7095323,NA,
886729,86284,
806553,90047,
963655,195021,
7540457,485026,
7540232,NA,
1287446,89109,
963589,194939,
806687,89917,
888507,88184,
961432,157686,
963416,189078,
925947,87845,
963243,189186,
961639,157729,
963934,195075,
963596,194948,
963917,195042,
961433,157687,
888506,87243,
887749,226376,
887670,226578,
1287471,87381,
7095337,NA,
806508,89224,
6769593,550157,
963402,189054,
961492,157746,
6769829,550179,
6769811,550159,
963874,194981,
963720,195152,
6390601,NA,
806561,86930,
6858161,NA,
887571,226379,
4951606,NA,
887704,226544,
961388,157642,
926045,89346,
963280,189223,
963200,189143,
888470,90684,
806740,88410,
963764,195253,
888555,90186,
925910,90329,
887826,226560,
963737,195171,
963751,195215,
7532896,NA,
5769292,NA,
963313,189259,
6769783,550128,
6769566,550130,
887629,226487,
963541,189265,
963617,194974,
6769874,552693,
963568,194918,
7539506,NA,
887698,226533,
6769598,550162,
6397917,NA,
963656,195022,
963326,189271,
6769812,550160,
963673,195059,
963834,194927,
963650,195014,
963812,195125,
888646,85255,
963745,195181,
7095330,NA,
6769729,550068,
963851,194947,
963481,189197,
6135925,NA,
887573,226381,
806594,85015,
963272,189216,
961498,157751,
7532898,485019,
961369,157623,
1287421,86733,
1287515,86286,
888514,85241,
961456,157710,
6769521,550085,
887681,226595,
961556,157638,
963761,195250,
806608,84124,
6769815,550163,
886719,86284,
963318,189264,
963635,194995,
1287375,87381,
1287496,88260,
6740130,NA,
963468,189184,
1287465,90254,
926030,86107,
1287389,84264,
6769737,550078,
806610,85379,
6769764,NA,
6769793,550139,
963346,189301,
887790,226470,
7095334,NA,
888565,83799,
888625,87199,
963955,195132,
7506108,NA,
806632,87938,
6944693,NA,
806500,90548,
961468,157722,
963267,189211,
963984,195179,
961438,157692,
6769600,550164,
963507,189226,
963731,195165,
806512,88943,
963769,195258,
1287345,87148,
6135203,NA,
806648,84752,
963924,195063,
7539416,NA,
887819,226538,
1287439,86330,
806688,85984,
7539507,485024,
3102353,NA,
887677,226590,
6769850,550201,
961538,157619,
963182,189071,
925913,85498,
6769750,550092,
964019,195279,
806596,89695,
963776,195275,
7405343,NA,
963865,194965,
4567724,NA,
963962,195152,
6769527,550091,
887871,226535,
6769624,550188,
887769,226425,
925999,89242,
1287385,83492,
1287424,88595,
806656,89539,
963493,189212,
806625,90548,
6769742,550083,
6769803,550149,
5571446,NA,
963579,194929,
806707,90601,
1287456,86610,
7532897,NA,
963873,194976,
6217612,NA,
806743,89095,
2245019,NA,
888499,90635,
963401,189053,
6769721,550059,
963866,194966,
925930,83792,
961515,157768,
963194,189112,
887739,226361,
963605,194960,
6769702,550267,
963385,189324,
887669,226577,
925899,84948,
887663,226570,
888601,85863,
887651,226555,
887815,226531,
887655,226561,
7540230,NA,
5927159,NA,
963666,195040,
961652,157744,
6769770,550114,
963289,189231,
963573,194923,
963577,194927,
806505,90401,
1287455,86447,
963774,195265,
926023,84865,
963661,195027,
963632,194992,
963940,NA,
963646,195010,
963430,189143,
963759,195229,
6400069,NA,
963909,195026,
6400084,NA,
963331,189277,
963302,189246,
963340,189292,
963961,195151,
961390,157644,
963237,189181,
6769762,550103,
963931,195072,
961607,157692,
963711,195132,
888498,89997,
963161,189043,
887793,226473,
1287486,84310,
806569,86545,
806711,89707,
7629191,NA,
963523,189245,
925911,90381,
806509,84269,
963164,189046,
1287507,90546,
963322,189266,
1287418,85840,
887838,226575,
887617,226470,
963583,194933,
887583,226398,
963969,195162,
887683,226601,
5997848,NA,
6769873,552694,
961618,157704,
963219,189163,
963396,189045,
6769794,550140,
963409,189063,
925963,88846,
842025,226405,
887603,226447,
1287401,88757,
887657,226563,
963695,NA,
886731,83463,
963660,195026,
964003,195251,
887812,226522,
6769761,550102,
888501,85217,
806642,89347,
963271,189215,
961417,157671,
6769714,550053,
6769550,550114,
963799,195294,
963988,195185,
963462,189178,
963773,195264,
963639,195001,
963913,195032,
887794,226476,
926044,89333,
886730,87137,
888450,NA,
925984,87017,
887841,226578,
887638,226521,
887642,226531,
963770,195259,
963218,189162,
963839,194932,
806719,89737,
961501,157754,
963379,189209,
963708,195126,
963177,189062,
961533,NA,
963715,195144,
963614,194971,
887621,226476,
887614,226461,
963261,189204,
964007,195255,
1287481,83492,
963763,195252,
888443,85170,
963404,189058,
963973,195166,
806507,87938,
963760,195231,
7134835,NA,
7540322,NA,
963441,189154,
6769629,550193,
6769536,550100,
963642,195004,
6769830,550180,
963552,189280,
926029,86095,
925940,86230,
963680,195068,
5691918,NA,
963417,189079,
963403,189055,
963684,195073,
963901,195016,
925923,89003,
6400077,NA,
963694,NA,
963980,195173,
963597,194949,
806738,87658,
963254,189197,
887595,226425,
