PCID,TCGID,
4708238,NA,
3461783,NA,
3439884,NA,
1335713,88194,
3439869,NA,
7640140,NA,
7640167,NA,
7640182,NA,
4708261,NA,
6281557,NA,
7640207,NA,
6590989,NA,
6680861,NA,
4708265,NA,
6680870,NA,
6281581,NA,
6680873,NA,
7640153,NA,
925212,NA,
3460445,NA,
7640204,NA,
6680839,NA,
3439874,NA,
7640231,NA,
6680908,NA,
3438514,NA,
6281596,NA,
6680860,NA,
6680881,NA,
3459242,NA,
6281586,NA,
4447491,NA,
957664,83653,
7640188,NA,
7640127,NA,
3438207,NA,
3459219,NA,
958812,98374,
7640139,NA,
3459226,NA,
4708225,NA,
3459238,NA,
4708256,NA,
4447519,NA,
6281547,NA,
3459233,NA,
4049925,283872,
7640197,NA,
3439911,NA,
7640236,NA,
7640210,NA,
6680885,NA,
7640232,NA,
7640169,NA,
3439968,NA,
7640184,NA,
4050061,284070,
957696,85618,
958794,98363,
6281604,NA,
7640122,NA,
957685,87513,
3460427,NA,
6135578,NA,
3461743,NA,
3459228,NA,
3439881,NA,
4200322,NA,
4200318,NA,
4050045,284045,
7640110,NA,
957736,84885,
7640200,NA,
4050216,283976,
4447494,NA,
4049961,283918,
7640199,NA,
7640132,NA,
924984,84944,
957620,84321,
3461767,NA,
6302848,NA,
7640152,NA,
6136682,NA,
7640130,NA,
4916951,NA,
3438194,NA,
7640138,NA,
6943591,NA,
957588,85704,
5836085,NA,
6680849,NA,
6680952,NA,
3459230,NA,
7640141,NA,
3459225,NA,
4447544,NA,
6680836,NA,
4708266,NA,
4050243,284025,
3461790,NA,
6281585,NA,
7322513,NA,
7640239,NA,
4447607,NA,
4050050,284054,
3461794,NA,
7640120,NA,
925029,85977,
3439879,NA,
6680891,NA,
1335658,90549,
3459215,NA,
6680874,NA,
925136,86694,
3438578,NA,
3459205,NA,
7640137,NA,
4894735,NA,
5836084,NA,
4447479,NA,
4642827,NA,
4200323,NA,
4049941,283895,
6857954,NA,
7640145,NA,
958804,98337,
4049989,283949,
4447531,NA,
4049958,283915,
3461775,NA,
6680929,NA,
7640157,NA,
7640219,NA,
4894734,NA,
7640108,NA,
2189369,NA,
7640198,NA,
3461754,NA,
7640149,NA,
6281538,NA,
4050178,283919,
925163,84308,
958790,98349,
1335753,88349,
5836083,NA,
3461759,NA,
924953,84464,
6680934,NA,
925134,86608,
6160268,NA,
925019,84309,
6680906,NA,
888940,87004,
925017,84040,
3439899,NA,
4447595,NA,
3461728,NA,
7640129,NA,
7640172,NA,
957662,87037,
4049948,283904,
889003,90616,
4708273,NA,
6657629,NA,
4708234,NA,
925182,87320,
4050080,282257,
3438542,NA,
6281591,NA,
7640225,NA,
3439895,NA,
7640163,NA,
3473950,NA,
7640202,NA,
7640183,NA,
925143,87786,
3461719,NA,
4200332,NA,
3460398,NA,
925155,90239,
3438581,NA,
925092,88661,
7640209,NA,
4050055,284061,
3461742,NA,
5442562,NA,
7640216,NA,
3438501,NA,
7640181,NA,
4894726,NA,
924957,84779,
957728,84320,
6331525,NA,
7640146,NA,
958821,98345,
925160,NA,
4447609,NA,
3438558,NA,
3459227,NA,
3439976,NA,
4781293,NA,
957642,89074,
925188,88128,
5810701,NA,
6302851,NA,
5489369,NA,
3439883,NA,
4447545,NA,
4708313,NA,
925012,90245,
6680837,NA,
6136684,NA,
957510,85662,
3473947,NA,
4050039,284030,
958816,NA,
957654,90448,
3439948,NA,
957495,89750,
4447485,NA,
5489371,NA,
3460431,NA,
958798,98334,
3460421,NA,
7640116,NA,
4049932,283882,
957559,89727,
4049981,283938,
3439868,NA,
7640194,NA,
7640214,NA,
7640180,NA,
3439887,NA,
6680844,NA,
7640165,NA,
925045,88259,
6680963,NA,
6416967,NA,
4050160,283897,
4049949,283905,
888938,86787,
957592,90783,
3461780,NA,
3439963,NA,
3438185,NA,
7640208,NA,
4956849,NA,
7640159,NA,
4447550,NA,
958808,98376,
7640223,NA,
6680911,NA,
957567,89423,
1335687,84047,
842336,87419,
4050019,283995,
6680892,NA,
925129,84944,
4200326,NA,
3459211,NA,
924955,84768,
7640201,NA,
957577,89582,
4602571,NA,
4049998,NA,
4447641,NA,
3461748,NA,
4447497,NA,
4708330,NA,
7640158,NA,
6680925,NA,
4080751,277325,
4708283,NA,
4050152,283885,
925097,83800,
4708246,NA,
3459248,NA,
3459181,NA,
957600,84981,
3460435,NA,
6680955,NA,
7640156,NA,
1335667,84753,
3473928,NA,
6680927,NA,
925128,84900,
925119,90194,
5442561,NA,
6680936,NA,
957556,84481,
925175,86093,
7640238,NA,
1335675,86285,
958791,98330,
3439970,NA,
6281574,NA,
3439943,NA,
3439877,NA,
889050,85697,
4050092,284117,
4049950,283906,
3439930,NA,
6149121,NA,
7640174,NA,
6680878,NA,
6302849,NA,
925204,84009,
4050135,283861,
4049940,283894,
6281548,NA,
4049944,283898,
7640168,NA,
924999,87986,
3439908,NA,
3439921,NA,
3459221,NA,
3438524,NA,
4602573,NA,
957573,88763,
7640143,NA,
4447480,NA,
7640230,NA,
3473880,NA,
4447577,NA,
925090,88375,
4447633,NA,
925184,87507,
2336239,NA,
4050200,283949,
4447729,NA,
