PCID,TCGID,
3365959,NA,
6778626,NA,
4913641,NA,
7323300,NA,
6778629,NA,
887395,219334,
888767,86138,
956168,NA,
5428218,NA,
7473194,NA,
956360,83829,
888187,85132,
4637011,478149,
6778641,NA,
956127,84179,
763141,84890,
888691,89409,
887420,219278,
888148,87013,
888288,89184,
956369,88702,
6995201,NA,
887282,219075,
888180,83695,
4637144,478107,
889368,87669,
6995174,NA,
887298,219239,
956213,85982,
4636935,478144,
4637216,478155,
4637165,478158,
2978740,97080,
2245059,NA,
956434,85616,
889597,89019,
4637133,478053,
887163,219459,
6550824,NA,
888762,89637,
888717,89239,
763083,85028,
956366,83951,
888167,87246,
4637234,478192,
5428227,NA,
4637233,478191,
962351,175473,
7667566,NA,
763269,88202,
5428222,NA,
2978723,97059,
849770,85240,
763208,86027,
956293,85486,
888138,86897,
5066886,NA,
887248,219286,
6778620,NA,
888693,89624,
2245045,NA,
849755,83694,
6142750,NA,
763159,84798,
849769,88336,
956337,85021,
5672119,NA,
956167,86426,
888830,89133,
888709,86463,
4637088,478061,
889617,90342,
956349,90780,
962333,175386,
888875,87254,
6042254,NA,
962268,175438,
6995196,NA,
956478,89293,
763059,84922,
6234389,NA,
4637229,478186,
4637006,478137,
4637051,478111,
956399,85539,
888381,85402,
849466,87585,
763061,85057,
888386,87129,
958781,97074,
4637179,478195,
888769,87359,
887232,219368,
887210,219391,
888682,83689,
763272,89443,
889866,90663,
956347,84729,
955437,84446,
956412,90469,
6984915,NA,
763233,84259,
888744,88923,
888810,84127,
888821,86266,
763162,85197,
888374,90397,
887309,219303,
955511,84318,
849561,83708,
956050,89005,
956481,83829,
889420,85976,
888202,89342,
849554,89653,
4956335,NA,
849524,89689,
889362,84516,
888042,87976,
889527,86707,
849427,90334,
956352,86242,
763079,84010,
956287,85516,
956090,90095,
4636976,478219,
4637182,478201,
887347,219464,
888218,88384,
763153,85245,
956096,90626,
889530,87722,
888072,83695,
888209,90607,
956436,85857,
888083,86834,
888052,85965,
962317,175273,
763268,88186,
956236,85090,
4636979,478227,
889364,84889,
889417,84236,
887103,219230,
887335,219434,
887403,219355,
887158,219447,
763237,84392,
956511,85366,
888715,89132,
956268,88831,
2978738,97078,
6342151,NA,
849757,84403,
956441,87229,
958771,97064,
763228,83824,
956417,89058,
4894836,NA,
889347,89041,
4636945,478160,
956077,90089,
888721,83794,
888756,86149,
3398878,NA,
889306,85946,
887218,219336,
962318,175274,
849447,87758,
956371,83916,
956395,88825,
888298,90581,
849394,84899,
889654,88391,
6245985,NA,
887178,219485,
6389245,NA,
888182,83727,
888108,87253,
956118,83844,
6739885,NA,
763206,85171,
763224,90200,
888101,90607,
956216,88855,
888096,89472,
956507,85559,
763085,85916,
888417,90465,
956324,89581,
4637140,478088,
956102,85338,
956195,87493,
888025,97749,
763086,86027,
6874967,NA,
5927169,NA,
888359,85154,
888878,89713,
888204,89472,
888303,86920,
956444,84339,
889494,87185,
888867,86142,
955614,84248,
956424,87165,
4951609,NA,
889343,87282,
956222,90761,
4637155,478134,
888733,86158,
4637196,478223,
763049,88826,
888864,90773,
962368,175494,
887328,219407,
888146,84761,
887368,219404,
888057,87014,
849531,84429,
955551,84523,
888246,90703,
955516,83814,
763223,90198,
888695,90561,
888215,86572,
956464,85703,
956322,89901,
956340,85702,
956443,83718,
6778647,NA,
887161,219454,
956122,86476,
4916943,NA,
888815,84836,
956241,89571,
956259,90695,
956475,83529,
889522,85173,
962289,175485,
888355,NA,
849432,84429,
849758,86664,
956303,84961,
4766912,173393,
849424,89398,
5790304,NA,
956474,83494,
6778650,NA,
763142,85227,
6995207,NA,
6995199,NA,
5811183,NA,
4636984,478225,
4636920,478107,
6244328,NA,
4637188,478217,
956056,89147,
4637145,478120,
888302,86598,
956323,88939,
956311,85853,
888738,87217,
763114,84366,
956476,89300,
849563,85216,
763115,84392,
887419,219277,
956070,89309,
889472,85244,
4637156,478135,
956180,89335,
888883,87359,
888734,86495,
962330,175383,
2369921,85878,
888846,86156,
956328,86233,
955606,83661,
888316,84084,
888399,89474,
888366,86806,
763263,84890,
763144,87753,
962243,175277,
956271,85539,
763230,84015,
956305,84949,
763152,90481,
962236,175269,
956316,87804,
962341,175425,
956403,87062,
6995175,NA,
887132,219349,
887234,219371,
887183,219495,
956141,86168,
4637161,478147,
888882,86140,
888069,89691,
4637005,478136,
888131,83955,
956110,88915,
888335,85371,
887332,219419,
888087,87759,
888253,85938,
849416,87234,
889643,90027,
955503,84377,
6778618,NA,
887156,219445,
958757,97050,
887393,219331,
956398,87190,
889658,89714,
962313,175263,
962325,175369,
849772,86760,
849765,89263,
955448,84714,
956176,86045,
887404,219357,
6234582,NA,
887417,219273,
4636968,478201,
889429,90487,
763207,155608,
4636902,478051,
887324,219384,
888799,86253,
849393,84462,
889536,89055,
888326,85875,
849511,85990,
763201,84010,
887322,219379,
956490,88702,
888336,85633,
5609152,NA,
888406,90747,
888764,89713,
956062,84413,
887098,219092,
4637193,478227,
962295,175491,
956209,84966,
763275,85245,
763193,220666,
888093,89296,
958772,97065,
888411,87600,
889498,90341,
888045,89025,
888062,87798,
849551,89340,
955575,83934,
889581,87701,
889509,87749,
5964283,NA,
956393,87788,
5428225,NA,
956446,83935,
849763,87808,
887153,219441,
887229,219362,
763087,86078,
2978721,97057,
956053,85062,
888874,86153,
888692,89541,
889467,87669,
889457,83839,
763056,83817,
763165,86946,
763062,85511,
888388,87610,
962320,175277,
889496,89019,
849543,87197,
889519,84554,
889326,87823,
849452,89470,
962328,175381,
962348,175459,
889508,87740,
4637013,478153,
4636951,478170,
4637187,478215,
888714,88582,
889297,88850,
4636996,478209,
4637205,478234,
888706,86013,
958767,97060,
887269,219313,
5830381,NA,
5672134,NA,
849534,85687,
888090,88296,
4781194,NA,
6778632,NA,
956454,86212,
888149,87976,
888086,87684,
888185,84432,
887249,219287,
956497,84903,
889351,89492,
956456,89283,
849555,89731,
763113,84356,
956468,85625,
763215,87825,
956047,84036,
956489,85696,
4637038,478200,
4637169,478170,
4637029,478186,
956133,86070,
887334,219432,
849465,86846,
956333,86584,
887358,219481,
956361,83821,
888210,90649,
763100,89513,
763222,89513,
763123,87081,
956267,88825,
962288,175484,
956335,88681,
4637136,478057,
888080,85133,
955454,84523,
5428257,NA,
956055,86426,
956356,90372,
958777,97070,
888358,84851,
6995203,NA,
962252,175380,
4636967,478199,
889373,85244,
956144,88396,
887271,219319,
888687,88325,
956185,85201,
888176,89533,
4637209,478136,
956391,84123,
763043,86946,
4768813,NA,
888213,84520,
888217,87392,
763064,86064,
2775151,97063,
888750,90773,
888293,89733,
763073,89389,
887141,219387,
6778649,NA,
888866,85896,
5428219,NA,
849506,85476,
956407,90462,
962345,175441,
763097,88751,
962344,175439,
962248,175366,
763240,85652,
4602158,NA,
887379,219376,
888189,85806,
956150,85280,
763104,90204,
888684,86157,
958764,97057,
2245048,NA,
849411,85937,
956230,86487,
956131,84243,
955611,83950,
4636969,478204,
888070,90368,
956363,87477,
962290,175486,
763150,89443,
887131,219348,
888263,87770,
956298,87166,
956358,89661,
763106,83824,
888349,87799,
956265,87788,
7328195,NA,
888363,86012,
956332,83640,
763212,87107,
888267,90397,
2978717,97050,
6995189,NA,
763179,84099,
889303,84407,
889493,86724,
4928511,NA,
956105,85982,
763197,90327,
888774,86552,
956514,86563,
956513,89632,
962255,175383,
956338,83519,
888134,84463,
889550,86291,
849493,84899,
956251,88573,
763271,88764,
