PCID,TCGID,
7557544,205307,
7638294,NA,
5826956,152819,
5605596,509862,
960484,152874,
2189378,NA,
6610759,NA,
762767,88592,
962797,179032,
762375,86177,
960478,152834,
962674,178863,
962499,178924,
920868,83617,
5705712,NA,
920736,86586,
1179986,NA,
962716,178915,
962680,178872,
955792,83930,
5605885,509928,
962640,178813,
962586,178848,
6939531,NA,
1180040,180450,
962752,178960,
955917,86082,
4083541,NA,
7210690,NA,
5714772,NA,
921551,NA,
921511,90230,
920891,90511,
962402,178811,
1317330,NA,
962459,178880,
762764,84894,
4049923,283870,
920885,85034,
962665,178851,
5714774,NA,
3892308,281494,
762612,86745,
955847,84449,
5827068,152823,
962530,178961,
962462,178883,
962714,178913,
2189385,NA,
6385662,NA,
2158485,90197,
5605703,510901,
920860,87750,
5605863,509856,
5613473,512040,
962389,178799,
962795,179029,
962536,178967,
962724,178923,
962435,178852,
920658,89594,
962550,178985,
7557547,205310,
955683,90263,
5605821,509835,
955907,88564,
762854,86941,
762460,90203,
5826950,152859,
955746,84449,
962528,178959,
762573,84635,
920787,90577,
920881,89027,
955684,90273,
762737,NA,
5605840,509867,
7322442,NA,
962720,178919,
5605899,509666,
962736,178938,
4050086,284104,
920730,89998,
920788,83747,
962672,178861,
5605806,509798,
920678,87248,
920767,83440,
920727,89457,
960483,152872,
955887,86306,
962580,179029,
962397,178806,
956034,87476,
955774,89227,
920667,84499,
921544,85557,
955772,90344,
921498,85398,
5605530,509672,
960475,152833,
4050288,284106,
1180002,110416,
6226298,NA,
1180016,275057,
920869,84017,
6611962,NA,
920722,89173,
920663,90577,
1179975,84967,
962605,178837,
920877,88144,
955797,85067,
920657,89291,
962697,178890,
5698917,NA,
5605795,509747,
955690,83930,
5605878,509901,
1180052,200960,
962490,178915,
920744,87362,
962502,178927,
962735,178937,
920857,85033,
6636078,NA,
955804,84385,
920822,84016,
6518250,NA,
962693,178886,
962556,178991,
960470,152830,
920699,84175,
1179994,110408,
921506,88370,
762493,83486,
3892311,281497,
962796,179030,
5605526,509662,
5605592,509850,
920874,86875,
955714,86587,
7307373,NA,
762749,88083,
955925,88983,
762780,88085,
955927,84007,
1180024,NA,
920781,89291,
962618,178996,
962559,178997,
962395,178804,
962786,179012,
2189377,NA,
920887,85246,
955935,88058,
5605615,509930,
955824,83609,
2158476,89351,
962564,179005,
955940,86056,
960490,152841,
2250620,NA,
921493,90008,
920828,85139,
4916255,NA,
7211611,NA,
