PCID,TCGID,
7418631,undefined,
7418593,undefined,
7418757,undefined,
7418530,undefined,
7418486,undefined,
7418538,undefined,
7418707,undefined,
7418609,undefined,
7418772,undefined,
7418547,undefined,
7418716,undefined,
7418636,undefined,
7418540,undefined,
7418709,undefined,
7307263,undefined,
6969247,undefined,
925225,undefined,
925317,undefined,
925266,undefined,
925352,undefined,
925245,undefined,
925331,undefined,
925267,undefined,
925353,undefined,
6737055,undefined,
2245031,undefined,
2245032,undefined,
925226,undefined,
925316,undefined,
925268,undefined,
925354,undefined,
925246,undefined,
925333,undefined,
925879,undefined,
925301,undefined,
925303,undefined,
925227,undefined,
925882,undefined,
925269,undefined,
925355,undefined,
925867,undefined,
925356,undefined,
925875,undefined,
925381,undefined,
925296,undefined,
925393,undefined,
925228,undefined,
925318,undefined,
925229,undefined,
925883,undefined,
925270,undefined,
925880,undefined,
925357,undefined,
925247,undefined,
925248,undefined,
925334,undefined,
925335,undefined,
925214,undefined,
925230,undefined,
925297,undefined,
925881,undefined,
925319,undefined,
925868,undefined,
925271,undefined,
925304,undefined,
925358,undefined,
925359,undefined,
925249,undefined,
925250,undefined,
925338,undefined,
925336,undefined,
925215,undefined,
7517767,undefined,
925306,undefined,
925876,undefined,
925382,undefined,
925287,undefined,
4933844,undefined,
4933886,undefined,
4934157,undefined,
4934060,undefined,
4933854,undefined,
4934172,undefined,
4934211,undefined,
4933882,undefined,
5809595,undefined,
4934006,undefined,
4934050,undefined,
5923912,undefined,
5880915,undefined,
5809734,undefined,
4933934,undefined,
5809666,undefined,
6021777,undefined,
4707536,NA,
6011478,NA,
5672380,NA,
7108798,NA,
7418478,557330,
7418661,567228,
7418679,567247,
4934061,487869,
4707535,NA,
7108682,560335,
5809431,516215,
5809681,516667,
6245981,NA,
4293851,451776,
4277127,451629,
5809407,515978,
6160425,NA,
5101312,NA,
7418508,567249,
5810896,NA,
4933896,488010,
1341708,NA,
7108685,560338,
7418541,567282,
4277215,451748,
4277219,451752,
920924,87697,
7108760,560314,
7418510,567251,
4933845,487923,
4933833,487906,
4293840,451765,
7108742,560396,
7418695,567265,
4934118,487960,
5165643,NA,
4934170,488038,
961120,146713,
7108665,560318,
7418759,567337,
7108736,560390,
1341497,232409,
