PCID,TCGID,
3920949,NA,
959527,111543,
959582,111625,
7084351,NA,
956584,87661,
958421,98177,
1673198,234085,
2386888,NA,
956704,84751,
959671,111559,
925699,90610,
959123,101454,
5769125,NA,
4766766,NA,
958450,NA,
2294039,NA,
2244977,NA,
956721,83932,
806362,90294,
7517728,NA,
959204,107135,
959596,111635,
3489580,272283,
956692,85185,
6239306,NA,
956600,84510,
6658428,NA,
925673,84005,
1673259,234255,
5172628,481791,
956571,83932,
2245003,NA,
7226347,NA,
959436,107214,
956739,85858,
5154460,NA,
886718,83943,
1673215,234165,
959496,111508,
842615,NA,
1725082,NA,
959150,101461,
959661,111596,
959586,111628,
5167954,NA,
1673260,234256,
956780,86071,
959504,111516,
959284,107214,
958427,98161,
2293947,88446,
956730,84480,
3399674,NA,
956555,84795,
958447,98202,
6326897,NA,
956758,86483,
925765,84233,
956542,84722,
2293966,85080,
6946114,NA,
959537,111553,
842619,87949,
956676,86066,
959370,107137,
959597,111636,
4707530,NA,
7374094,NA,
959485,107265,
959380,107149,
956551,87222,
806483,84317,
959205,107136,
1673210,234135,
4566859,272301,
2293948,NA,
2293973,86113,
641917,106360,
956718,85118,
958449,98173,
1725023,234176,
959477,107257,
1673251,234247,
3489803,272307,
3489550,272253,
886690,NA,
842622,88283,
806354,NA,
959384,107155,
959381,107150,
1673280,234186,
3489739,272228,
1725046,234243,
842578,85949,
959153,101464,
6396932,NA,
959134,101439,
959414,107190,
7224910,NA,
806440,NA,
956743,85775,
806329,87934,
925730,89178,
1673229,234203,
958426,98191,
959363,107129,
1673281,234188,
959456,107237,
959214,107145,
1673291,NA,
959377,107146,
2294020,87348,
3489804,272310,
959557,111560,
959659,111594,
842607,86186,
1673283,234190,
806436,83730,
959064,101465,
1724991,234037,
959466,107246,
806400,85262,
3489737,272224,
959424,107201,
3489561,272264,
959673,111607,
2021480,NA,
959507,111519,
2294025,89627,
959687,111621,
959401,107173,
959508,111520,
3508394,272472,
5167959,NA,
959093,101497,
959079,101483,
3489725,272211,
806425,85182,
1725040,234231,
7418436,NA,
956603,87442,
806364,88968,
959379,107148,
6142768,NA,
959128,100619,
959182,101498,
925746,85677,
959538,111554,
2245069,NA,
806443,85610,
959662,111597,
886693,86354,
956770,85014,
2386889,NA,
6948293,NA,
842655,88354,
842634,83563,
925662,86942,
3489607,272708,
3489588,272291,
959117,101521,
3489824,272370,
842591,90407,
5809316,NA,
1673224,234189,
3489748,272238,
2294003,89741,
4707527,NA,
3489800,272304,
959155,101466,
3489512,272214,
959655,111555,
3489836,272395,
3489694,272449,
3489811,272343,
959471,107251,
959232,107163,
959242,107173,
1725013,234135,
806401,85580,
3509640,NA,
1673274,NA,
959311,107241,
956687,84192,
959444,107222,
3489791,272291,
956517,85787,
959257,107187,
959488,107267,
1725024,234183,
1725081,NA,
925691,88290,
842536,84870,
925689,87861,
3489847,272406,
3489617,272349,
7307451,NA,
3489565,272268,
959526,111542,
959442,107220,
958425,98160,
842653,90030,
3489728,272214,
2386893,NA,
959420,107196,
959500,111512,
956786,83658,
925658,85944,
959201,107132,
959473,107253,
959147,101457,
959679,111614,
959239,107170,
959712,111574,
842535,83919,
959433,107210,
806360,90624,
5872661,NA,
959510,111522,
956712,84514,
7719041,NA,
925728,83700,
956536,87817,
806433,NA,
959318,107248,
806339,87940,
3489541,272243,
925631,90726,
925811,90611,
3489626,272364,
956689,84095,
3489513,272215,
2365267,NA,
956567,85161,
959445,107224,
959172,101487,
959210,107141,
3489600,272302,
641930,42566,
641905,42553,
956642,83658,
959317,107247,
806467,90749,
959451,107230,
956635,86800,
6346356,NA,
959179,101495,
3489507,272209,
956742,85769,
959364,107130,
1725056,234253,
806491,88200,
925714,NA,
1724993,234040,
1673313,234138,
2293899,85148,
959074,101478,
959590,111570,
3489517,272219,
956519,83802,
806392,90014,
959245,107176,
2293942,85949,
3489505,272207,
3489850,272409,
3489661,272414,
959277,107207,
959569,111615,
959261,107191,
806365,89420,
959375,107144,
956597,87134,
806327,NA,
2294035,88552,
956725,85972,
4556227,NA,
1673237,234223,
3489729,272215,
806396,84317,
959193,107124,
1673186,234041,
5334237,NA,
5167960,NA,
959635,111526,
959060,101463,
886712,83928,
959578,111622,
959503,111515,
842635,84675,
